0,AgAsO,6.0994,6.0994,1,1,149.77611954199375,104.04599911464436
0,AgNbO,3.7846,5.4971,22,41,151.56850492296346,106.05406174053952
0,AgPO,2.7449,4.246,54,1,140.3751977474256,95.10883913172313
0,AgSbO,6.63,6.63,1,1,146.9355508021221,103.02431343951645
0,AgTaO,-inf,inf,0,0,154.6028866979519,105.59887871605197
0,AgVO,3.4308,4.6801,14,15,144.70355410885367,126.98197801516264
0,AuNbO,4.676,5.1007,23,11,149.02278575746607,103.78311954553257
0,AuPO,2.802,4.4049,53,52,23.944109275557302,71.24899410123838
0,AuSbO,-inf,inf,0,0,144.12927877427128,101.94011371378474
0,AuTaO,-inf,inf,0,0,151.76192229177738,104.71353856277854
0,AuVO,3.3647,3.8499,17,41,152.8592096163897,95.89850569495232
0,BaGeO,-inf,inf,0,0,179.97332352276675,109.47031907644022
0,BaHfO,2.3773,5.8799,1,1,179.89757485713244,109.46954505645564
0,BaSnO,4.2223,4.963,1,1,177.31375291632628,109.42142092974979
0,BaTiO,3.1226,4.823,1,1,179.97568542189182,109.46955295287184
0,BaZrO,3.6074,6.7663,1,1,174.35332911445167,109.27412411478956
0,BeGeO,4.57,7.745,1,1,123.47012421791332,91.9677698627287
0,BeSiO,6.2494,12.2565,1,1,127.87746376212114,94.35790118571319
0,BeSnO,-inf,inf,0,0,118.09545180949718,88.89016769183858
0,BiAlO,7.1867,10.0536,16,10,158.8988550616385,106.77753682695631
0,BiGaO,6.1596,8.8231,52,51,151.95694262399,104.77936075017553
0,BiInO,5.4646,8.5354,57,49,142.26577883327667,110.3784975570419
0,BiTlO,4.9003,6.507,19,2,136.57491891116368,109.75807682755418
0,CaGeO,-inf,inf,0,0,155.90640088396563,105.97684722108998
0,CaHfO,2.3194,6.5353,1,1,146.1728450915747,102.73724879201848
0,CaSiO,6.2565,10.4722,1,1,168.3669590255295,108.64045828281064
0,CaSnO,4.2689,6.7255,9,1,145.39174549140787,102.43748476322833
0,CaTiO,3.3245,5.6079,1,1,153.94781145039997,105.40211819365517
0,CaZrO,3.7242,7.574,1,1,144.6254307584807,102.13753509787371
0,CdGeO,-inf,inf,0,0,148.69709115309738,103.66723440653541
0,CdHfO,-inf,inf,0,0,141.58713467110218,100.89638506648507
0,CdSiO,5.4708,8.0469,1,1,156.07898707129385,106.02532707431736
0,CdSnO,4.0001,4.7655,1,1,140.5473631514112,100.45335410485288
0,CdTiO,-inf,inf,0,0,147.72999650340154,103.31808799287802
0,CdZrO,3.2386,5.7251,12,1,140.31590741990968,100.35342497425177
0,CsAsO,0.6534,1.7722,34,1,177.68289298747695,119.16191206622202
0,CsNbO,1.5978,3.1104,1,1,176.8778674148493,111.00672852300356
0,CsPO,-0.7071,2.6673,1,1,174.75703433931074,101.21753303903378
0,CsSbO,-inf,inf,0,0,179.9851967127711,109.47064642577377
0,CsTaO,1.7357,4.0062,1,1,177.5033863744343,110.69032411836223
0,CsVO,0.2601,2.789,1,54,173.78745792334513,117.71050307086885
0,CuAsO,6.2593,6.1996,1,10,137.10733851080886,98.9216415763445
0,CuNbO,4.395,4.7401,35,41,135.7536154651835,98.2904767376045
0,CuPO,-inf,inf,0,0,146.32114737790738,102.79325875432664
0,CuSbO,-inf,inf,0,0,133.08811468394467,97.01159659283603
0,CuTaO,-inf,inf,0,0,137.58581185254656,99.14040374276583
0,KAsO,3.263,3.0596,1,2,179.94594285875047,109.46757849650398
0,KNbO,1.3865,2.8021,1,1,179.94570536063506,109.4712284462886
0,KPO,-0.8131,4.2639,36,1,155.6221017411213,112.91893658038735
0,KSbO,3.8254,3.9633,1,1,172.00491878960005,109.07732121792517
0,KTaO,1.659,3.7399,1,1,179.94974401281493,109.47043448438815
0,KVO,0.5315,2.68,1,10,169.0318294794239,101.97768467927708
0,LaAlO,7.9034,11.8519,29,1,166.51111654484194,108.35779930904727
0,LaGaO,6.6846,10.4108,29,1,155.67089904271592,105.90940578103623
0,LaInO,6.4083,9.3732,1,1,141.93998687524257,101.04513731515561
0,LaTlO,5.9946,6.9698,1,1,136.62103396304906,98.6986600994246
0,LiNbO,1.3546,4.6964,1,6,133.79242398613573,101.49819816609454
0,LiPO,6.403,9.9844,1,1,144.65758064127422,102.14964796619476
0,LiSbO,4.4035,6.5001,2,1,133.59760065823116,97.26134854081653
0,LiVO,1.8319,4.1194,1,8,137.72481310678208,102.13287603100592
0,MgSiO,5.5763,11.1992,2,1,146.20230637242136,102.7482884861313
0,MgSnO,4.21,6.4218,1,1,132.33970090756594,96.6449962376727
0,MgTiO,3.165,5.5,1,1,138.174443836668,99.40872191349635
0,NaNbO,1.3519,3.3069,10,1,154.98194274494205,105.71218888979624
0,NaPO,6.2842,7.7862,1,1,160.61928123979914,107.19047128073292
0,NaSbO,4.0516,5.3471,1,1,148.94690338774606,103.75605728531164
0,NaTaO,-inf,inf,0,0,156.7233588825814,106.2042119303895
0,NaVO,1.7905,3.5942,1,1,158.0804923601248,108.76245305501534
0,PbHfO,-inf,inf,0,0,157.78903351390184,106.4908447255316
0,PbSiO,8.7795,10.3429,7,1,179.98124354811355,109.47057564276719
0,PbSnO,-inf,inf,0,0,156.37691687467702,106.10917584055989
0,PbTiO,5.4187,7.0301,10,29,171.04944963631286,113.63699752602885
0,PbZrO,5.9553,8.6397,8,8,155.29889284398425,105.80278824014022
0,RbAsO,3.0119,2.8251,1,2,179.9927991494114,109.46898547856253
0,RbNbO,1.3159,3.5148,1,1,178.5537532947235,109.63824738519513
0,RbPO,-1.1093,3.8029,3,1,134.4525217547717,64.57193314264376
