A,B,O,bond_angle_a,bond_angle_c,cbm_diff,cbm_hse,cbm_k_pbe,cbm_pbe,gap_diff,gap_hse,gap_pbe,material,vbm_diff,vbm_hse,vbm_k_pbe,vbm_pbe
Be,Zr,O,134.27659713617223,128.0705188729045,0.7448999999999995,8.4803,1.0,7.7354,1.7616999999999998,5.7477,3.986,BeZrO,-1.0168,2.7326,1.0,3.7494
Bi,Al,O,159.38864698292494,159.01164448621213,0.3880999999999997,10.2232,1.0,9.8351,1.1022999999999996,3.5780000000000003,2.4757000000000007,BiAlO,-0.7142,6.6452,2.0,7.3594
Bi,Ga,O,151.3915694328243,151.08819873655622,0.4411000000000005,9.6456,1.0,9.2045,1.1095000000000006,4.0283,2.9187999999999987,BiGaO,-0.6684000000000001,5.6173,3.0,6.2857
Bi,In,O,136.77593555341195,139.9242641084515,0.6513999999999989,9.2288,2.0,8.5774,1.2792999999999992,3.7444,2.4651000000000005,BiInO,-0.6279000000000003,5.4844,1.0,6.1123
Bi,Tl,O,128.45346233466807,136.1653038596353,0.4192,6.7871,2.0,6.3679,1.0264999999999995,1.9937999999999996,0.9672999999999998,BiTlO,-0.6072999999999995,4.7933,1.0,5.4006
Ca,Ge,O,156.36566160041411,155.65742786156858,0.4852999999999996,7.1311,1.0,6.6458,1.584699999999999,3.9903,2.4056000000000006,CaGeO,-1.0993999999999997,3.1408,12.0,4.2402
Ca,Hf,O,145.61168688510526,147.05545464111376,0.7343000000000002,7.4614,1.0,6.7271,1.7043,6.1896,4.4853000000000005,CaHfO,-0.97,1.2718,1.0,2.2418
Ca,Si,O,167.93225224947295,171.24337800988266,0.7846000000000011,11.2405,1.0,10.4559,1.884500000000001,6.004100000000001,4.1196,CaSiO,-1.0999,5.2364,1.0,6.3363
Ca,Sn,O,144.07166153207717,146.01445540231973,0.5320999999999989,7.2841,1.0,6.752000000000002,1.5874999999999986,4.198,2.610500000000001,CaSnO,-1.0553999999999997,3.0861,12.0,4.1415
Ca,Ti,O,154.1158994363173,153.68395320969947,0.5979000000000001,6.1172,1.0,5.5193,1.4939,3.8499,2.3560000000000003,CaTiO,-0.8959999999999999,2.2673,1.0,3.1633
Ca,Zr,O,143.85561812743703,145.66217016392446,0.7343999999999999,8.4503,1.0,7.7159,1.6893999999999991,5.6966,4.007200000000001,CaZrO,-0.955,2.7537,1.0,3.7087
Cd,Ge,O,150.12836127402133,151.2934534003181,0.5935999999999995,5.7383,1.0,5.1447,1.7060999999999995,2.8315,1.1254,CdGeO,-1.1125000000000005,2.9068,1.0,4.0193
Cd,Hf,O,143.7905080227257,143.5138646214204,0.7130000000000001,5.0798,1.0,4.3668,1.6673000000000004,4.1219,2.4546,CdHfO,-0.9543,0.9579,1.0,1.9122
Cd,Si,O,157.84539151712926,158.63332141695616,0.7457000000000011,8.8405,1.0,8.0948,1.8884000000000007,4.4813,2.5928999999999998,CdSiO,-1.1426999999999996,4.3592,1.0,5.5019
Cd,Sn,O,141.13826603971555,143.24539173587831,0.5947000000000005,5.5643,1.0,4.9696,1.6580000000000008,2.4970000000000003,0.8389999999999995,CdSnO,-1.0633000000000004,3.0673,1.0,4.1306
Cd,Ti,O,150.03151747061816,149.34672168303018,0.6166,5.5566,1.0,4.94,1.5157000000000005,3.677200000000001,2.1615,CdTiO,-0.8991000000000002,1.8794,1.0,2.7785
Cd,Zr,O,142.5576796266634,142.05580686851218,0.7246999999999995,6.7051,1.0,5.9804,1.649299999999999,4.2212,2.5719000000000003,CdZrO,-0.9246,2.4839,1.0,3.4085
Cs,As,O,153.94857190038587,166.26828979518302,0.27470000000000017,2.6943,1.0,2.4196,1.4184000000000003,2.184,0.7655999999999998,CsAsO,-1.1437000000000002,0.5103,2.0,1.654
Cs,Nb,O,179.99803824663203,179.99672085248054,0.2698999999999998,3.7592,1.0,3.4893,1.1388999999999996,2.3618,1.2229,CsNbO,-0.8690000000000001,1.3974,1.0,2.2664
Cs,P,O,150.78069252011386,163.78805295122768,0.4370000000000003,4.1249,1.0,3.6879,1.6102000000000003,2.8036000000000003,1.1934,CsPO,-1.1732,1.3213,2.0,2.4945
Cs,Sb,O,179.99300347118594,179.99636839072198,-0.9735999999999998,3.1263,5.0,4.0999,0.08340000000000057,0.03100000000000014,-0.05240000000000045,CsSbO,-1.0570000000000004,3.0953,1.0,4.1523
Cs,Ta,O,179.99310966459896,179.99458439174546,0.3831000000000007,4.7346,1.0,4.3515,1.2864000000000004,3.0647,1.7782999999999998,CsTaO,-0.9033,1.6699,1.0,2.5732
Cu,As,O,141.8563252817819,140.87055208448194,-0.7142,5.6292,2.0,6.3434,0.028999999999999918,0.01100000000000012,-0.017999999999999794,CuAsO,-0.7431999999999999,5.6182,1.0,6.3614
Cu,P,O,148.10150428511386,152.95547355984513,-0.4488000000000003,8.6901,1.0,9.1389,0.5706000000000007,0.6387999999999998,0.06819999999999915,CuPO,-1.019400000000001,8.0513,13.0,9.0707
Cu,Sb,O,140.21263249317303,139.95577244250765,-0.7427999999999999,6.2922,2.0,7.035,0.04389999999999983,0.013799999999999812,-0.03010000000000002,CuSbO,-0.7866999999999997,6.2784,4.0,7.0651
Cu,Ta,O,147.01008141070494,145.7053726990876,0.34330000000000016,5.8673,1.0,5.524,1.2146999999999997,2.0278,0.8131000000000004,CuTaO,-0.8713999999999995,3.8395,3.0,4.7109
K,As,O,179.98710754340027,179.53688318712625,-0.9909999999999995,2.0047,15.0,2.9957,0.1962000000000006,-0.10109999999999976,-0.29730000000000034,KAsO,-1.1872000000000005,2.1058,1.0,3.293
K,Nb,O,179.96550557920514,179.9735649555147,0.3450000000000002,3.1472,1.0,2.8022,1.2895,2.7033,1.4138,KNbO,-0.9445,0.4439,1.0,1.3884
K,P,O,153.999296320278,164.72922532043776,0.3272999999999997,4.3218,1.0,3.9945,1.5459999999999998,2.7433,1.1972999999999998,KPO,-1.2187,1.5785,10.0,2.7972
K,Sb,O,172.4532375219964,172.66258768265354,-0.5874000000000001,3.3781,1.0,3.9655,0.5943999999999998,0.7441,0.14970000000000014,KSbO,-1.1818,2.634,1.0,3.8158
K,Ta,O,179.98789456578942,179.9854341789614,0.4510000000000001,4.1902,1.0,3.7392,1.4337000000000004,3.5125,2.0788,KTaO,-0.9827,0.6777,1.0,1.6604
K,V,O,179.99787459348263,179.98337533611956,0.033999999999999815,2.2921,1.0,2.2581,0.9815999999999996,1.0068,0.02520000000000033,KVO,-0.9475999999999998,1.2853,1.0,2.2329
La,Al,O,165.66626363394678,169.6383481339766,0.5914000000000001,12.2385,1.0,11.6471,1.5635000000000003,5.3348,3.7713,LaAlO,-0.9721000000000002,6.9037,10.0,7.8758
La,Ga,O,156.00494537725177,157.4965866721322,0.8870000000000005,11.1196,1.0,10.2326,1.8308,5.5789,3.7481,LaGaO,-0.9437999999999996,5.5407,17.0,6.4845
La,In,O,140.75985651068734,143.52334046371163,0.6966000000000001,9.7805,1.0,9.0839,1.5053999999999998,4.3868,2.8814,LaInO,-0.8087999999999997,5.3937,1.0,6.2025
